feature_index,old_feature_name,old_feature_group,mean_abs_shap,feature_name,feature_group
135,genomic_feature_135,Other_basic,0.00043692,genomic_feature_315,Other_basic
161,genomic_feature_161,Other_basic,0.00043593,genomic_feature_214,Other_basic
70,genomic_feature_70,Other_basic,0.0004359,genomic_feature_273,Other_basic
246,genomic_feature_246,Other_basic,0.00043321,genomic_feature_175,Other_basic
109,genomic_feature_109,Other_basic,0.00043317,genomic_feature_160,Other_basic
294,genomic_feature_294,Other_basic,0.00043302,genomic_feature_240,Other_basic
39,genomic_feature_39,Other_basic,0.00042907,genomic_feature_194,Other_basic
212,genomic_feature_212,Other_basic,0.00042736,genomic_feature_151,Other_basic
324,genomic_feature_324,Other_basic,0.00042662,genomic_feature_34,Other_basic
112,genomic_feature_112,Other_basic,0.00042614,genomic_feature_65,Other_basic
87,genomic_feature_87,Other_basic,0.00042278,genomic_feature_235,Other_basic
116,genomic_feature_116,Other_basic,0.00042264,genomic_feature_331,Other_basic
282,genomic_feature_282,Other_basic,0.00041925,genomic_feature_152,Other_basic
291,genomic_feature_291,Other_basic,0.00041634,genomic_feature_170,Other_basic
232,genomic_feature_232,Other_basic,0.00041482,genomic_feature_106,Other_basic
172,genomic_feature_172,Other_basic,0.00041412,genomic_feature_95,Other_basic
169,genomic_feature_169,Other_basic,0.00041204,genomic_feature_104,Other_basic
280,genomic_feature_280,Other_basic,0.00040793,genomic_feature_13,Other_basic
48,genomic_feature_48,Other_basic,0.00040756,genomic_feature_36,Other_basic
132,genomic_feature_132,Other_basic,0.00040735,genomic_feature_323,Other_basic
271,genomic_feature_271,Other_basic,0.000407,genomic_feature_299,Other_basic
323,genomic_feature_323,Other_basic,0.0004052,genomic_feature_173,Other_basic
213,genomic_feature_213,Other_basic,0.00040303,genomic_feature_342,Other_basic
339,genomic_feature_339,Other_basic,0.00040256,genomic_feature_33,Other_basic
140,genomic_feature_140,Other_basic,0.00040119,genomic_feature_140,Other_basic
149,genomic_feature_149,Other_basic,0.00039913,genomic_feature_123,Other_basic
151,genomic_feature_151,Other_basic,0.00039455,genomic_feature_256,Other_basic
304,genomic_feature_304,Other_basic,0.00039373,genomic_feature_198,Other_basic
312,genomic_feature_312,Other_basic,0.00039363,genomic_feature_172,Other_basic
307,genomic_feature_307,Other_basic,0.00039169,genomic_feature_179,Other_basic
