protein_embedding_cluster,n_samples,n_positive,n_negative,genes,positive_rate
97,7,3,4,CCDC197; PDCD4; HSH2D; MON1B; VPS53; FAM90A3; RNPS1,0.4286
98,9,4,5,ATF7IP2; GBA2; EXOSC2; VIPAS39; NDUFAF4; TCOF1; TMEM88; PLA2G6; CRHR2,0.4444
99,11,3,8,OR4D2; ANKRD30A; BPTF; ZNF821; NDUFS2; MIB2; GCAT; IQCN; LRIG1; KRI1; PI4KB,0.2727
100,11,5,6,C6ORF132; C4ORF36; CCNJ; MGAM; FAF1; CPA1; LRRIQ1; CDK5RAP1; CDKL5; ESPL1; SORBS2,0.4545
101,13,6,7,GDF7; TOGARAM1; PPP4R3C; FBN2; NPIPA8; HUWE1; ZDHHC21; ZYG11B; INHBB; PRR14L; IKZF5; SLC25A22; HERC1,0.4615
102,16,9,7,FGFR3; MPPED2; SCART1; PIKFYVE; RUNX3; NDUFB8; PPP2R2C; SPATA31A5; VPS13C; CDO1; TIGAR; FAM200B; RRP12; ARL6IP6; C10ORF143; PGRMC2,0.5625
103,7,3,4,TLL2; TH; NBPF3; PCDHGA6; MARCKS; EPC2; RAB3GAP2,0.4286
104,10,5,5,CCND2; UPK3BL1; RIN1; ZPBP2; PCNX4; SGK2; PRDM5; NDUFA13; GIGYF1; HES2,0.5
105,4,0,4,MAGEA4; MYO1D; MEX3D; TLCD5,0.0
106,18,8,10,VPS33A; DNAH11; FAM149B1; CACNA2D3; NKX6-1; MAGEE1; EXOC3L1; CHRD; OSBPL5; LDB2; ZNF407; PPARG; IRS1; PNPLA3; SF3B3; RAP1GAP; SAFB2; NDUFB7,0.4444
107,2,1,1,MED12L; ZNF536,0.5
108,8,5,3,GALNT10; AMY2A; NUDT15; PLA2G2F; USP19; FHIP2A; CAMK2G; HMG20A,0.625
109,25,17,8,STEAP1; MAFF; UHRF1; TNFAIP6; ASGR2; KHDC1; NDUFAF2; PIP4K2A; MRPS30; ATP5MC1; SLC12A2; TBRG1; KL; COXFA4; RRP8; PKP1; KLB; TTN; MANSC4; P2RY1,0.68
110,13,8,5,RASGRP2; LAMA1; RASSF1; CTTNBP2; COBLL1; SLC22A10; DCAF5; ZNF224; JMY; WNT9B; PXMP4; GGNBP2; PIGS,0.6154
111,10,4,6,GSTT4; MC4R; STAG3; RNF17; SAMM50; ATP1B2; CNOT7; GFM2; PCSK1; USP17L3,0.4
112,3,1,2,TRAK2; C2ORF68; ATP5F1E,0.3333
113,9,5,4,ZFHX3; TEX101; DNAAF11; OSGIN1; GPSM1; BEND6; GSAP; FLACC1; DENND1A,0.5556
114,29,17,12,LEP; FOXRED2; ZFP92; HMHB1; BAHCC1; PCDHGB5; FABP9; CEP350; DRD2; BTBD1; ZNF717; GPR26; NDUFS5; PAGE3; TBC1D8; HNF1B; ANKDD1B; EPB41L4A; PELO; KRTAP20-1,0.5862
115,9,5,4,BAK1; PIK3R1; HCFC2; HNRNPA1L3; PAX4; SERBP1; KLHDC10; SFI1; PTPN22,0.5556
116,5,0,5,MOSMO; BORA; TMF1; KCTD4; HNRNPA1L2,0.0
117,7,3,4,POLR2B; XRCC2; THADA; MTUS2; TAL1; POTEJ; NPC1L1,0.4286
118,24,11,13,FXR1; ITPKC; APOA4; ALG14; PCDHGA8; HEY2; SPPL3; CFTR; MAGEC2; RFX6; PCNX1; RNASE8; SNAPC2; PLPP5; ZNF93; ZNF430; NSD1; SCD5; DCAF10; SLC30A8,0.4583
119,18,4,14,GPA33; DESI1; PPM1F; XXYLT1; MEF2C; PKD1L1; CTDP1; ZNF184; CFAP96; PRR5; NT5C2; HELB; ZC3H12C; SH3RF1; REXO2; NOL6; GRM8; MKRN2,0.2222
