comparison,model_a,model_b,top_k,metric,model_a_value,model_b_value,delta
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,300,enrichment_factor_at_k,1.56667,1.54667,0.02
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,300,ndcg_at_k,0.7993,0.76384,0.03546
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,300,average_precision_at_k,0.83369,0.78912,0.04457
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,500,precision_at_k,0.734,0.734,0.0
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,500,recall_at_k,0.40642,0.40642,0.0
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,500,enrichment_factor_at_k,1.468,1.468,0.0
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,500,ndcg_at_k,0.75402,0.73459,0.01943
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,500,average_precision_at_k,0.80894,0.77445,0.03449
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,10,precision_at_k,0.7,0.9,-0.2
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,10,recall_at_k,0.00775,0.00997,-0.00222
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,10,enrichment_factor_at_k,1.4,1.8,-0.4
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,10,ndcg_at_k,0.5965,0.77991,-0.18341
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,10,average_precision_at_k,0.60833,0.78567,-0.17734
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,25,precision_at_k,0.8,0.84,-0.04
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,25,recall_at_k,0.02215,0.02326,-0.00111
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,25,enrichment_factor_at_k,1.6,1.68,-0.08
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,25,ndcg_at_k,0.71581,0.79051,-0.0747
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,25,average_precision_at_k,0.71407,0.83771,-0.12364
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,50,precision_at_k,0.82,0.76,0.06
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,50,recall_at_k,0.0454,0.04208,0.00332
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,50,enrichment_factor_at_k,1.64,1.52,0.12
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,50,ndcg_at_k,0.75776,0.74876,0.009
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,50,average_precision_at_k,0.7472,0.81337,-0.06617
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,100,precision_at_k,0.77,0.77,0.0
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,100,recall_at_k,0.08527,0.08527,0.0
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,100,enrichment_factor_at_k,1.54,1.54,0.0
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,100,ndcg_at_k,0.74325,0.76205,-0.0188
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,100,average_precision_at_k,0.76746,0.79789,-0.03043
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,150,precision_at_k,0.80667,0.73333,0.07334
Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,150,recall_at_k,0.134,0.12182,0.01218
