gene,source_file,source_file_name,model_guess,gene_col,score_col,rank_col,score_value,rank_value,context_rank,context_score,context_list_name,context_theme,context_group,context_model_name
IGF2BP2,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top50_genes.csv,Multimodal_DNABERT2_top50_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.6880293477594035,50.0,50.0,0.6880293477594035,Multimodal_DNABERT2_top50,,,
NDUFB2,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_handcrafted_TP_genes.csv,Multimodal_handcrafted_TP_genes.csv,Handcrafted_multimodal,gene_symbol,score,rank,0.8311564412765862,3.0,3.0,0.8311564412765862,,,,
NEUROD1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_handcrafted_TP_genes.csv,Multimodal_handcrafted_TP_genes.csv,Handcrafted_multimodal,gene_symbol,score,rank,0.8184619691616912,5.0,5.0,0.8184619691616912,,,,
INSR,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_handcrafted_TP_genes.csv,Multimodal_handcrafted_TP_genes.csv,Handcrafted_multimodal,gene_symbol,score,rank,0.8175041195739547,6.0,6.0,0.8175041195739547,,,,
GAD1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_handcrafted_TP_genes.csv,Multimodal_handcrafted_TP_genes.csv,Handcrafted_multimodal,gene_symbol,score,rank,0.8134238284345724,7.0,7.0,0.8134238284345724,,,,
NDUFV1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_handcrafted_TP_genes.csv,Multimodal_handcrafted_TP_genes.csv,Handcrafted_multimodal,gene_symbol,score,rank,0.8046324069688265,11.0,11.0,0.8046324069688265,,,,
CACNA1D,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_handcrafted_TP_genes.csv,Multimodal_handcrafted_TP_genes.csv,Handcrafted_multimodal,gene_symbol,score,rank,0.7985175679877733,13.0,13.0,0.7985175679877733,,,,
HHEX,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_handcrafted_TP_genes.csv,Multimodal_handcrafted_TP_genes.csv,Handcrafted_multimodal,gene_symbol,score,rank,0.7984341313288149,14.0,14.0,0.7984341313288149,,,,
NDUFB3,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_handcrafted_TP_genes.csv,Multimodal_handcrafted_TP_genes.csv,Handcrafted_multimodal,gene_symbol,score,rank,0.7789488388876218,19.0,19.0,0.7789488388876218,,,,
SLC5A1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_handcrafted_TP_genes.csv,Multimodal_handcrafted_TP_genes.csv,Handcrafted_multimodal,gene_symbol,score,rank,0.7723746163335174,20.0,20.0,0.7723746163335174,,,,
