split_id,fusion_model,fusion_type,n_train,n_val,n_test,validation_mcc,selected_weight_protein,selected_weight_genomic,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,threshold,meta_feature_names
8,Stacking_Protein_HandcraftedGenomic,stacking,1156,289,361,0.36055,,,0.73217,0.73408,0.6482,0.60153,0.87222,0.42541,0.71202,0.33254,77,104,23,157,0.43578,protein_score; handcrafted_genomic_score
8,Stacking_Protein_DNABERT2Genomic,stacking,1156,289,361,0.39179,,,0.73438,0.74125,0.65928,0.65241,0.67778,0.64088,0.66485,0.31887,116,65,58,122,0.52424,protein_score; dnabert2_genomic_score
8,Stacking_Protein_Handcrafted_DNABERT2,stacking,1156,289,361,0.40607,,,0.73146,0.74114,0.66759,0.66667,0.66667,0.66851,0.66667,0.33517,121,60,60,120,0.52624,protein_score; handcrafted_genomic_score; dnabert2_genomic_score
9,Protein_only,single_modality,1156,289,361,0.42146,,,0.71289,0.6903,0.63712,0.60965,0.76796,0.50556,0.67971,0.2835,91,89,42,139,0.41547,
9,Handcrafted_genomic_only,single_modality,1156,289,361,0.31324,,,0.6325,0.64116,0.60665,0.65854,0.44751,0.76667,0.53289,0.22595,138,42,100,81,0.5342,
9,DNABERT2_genomic_only,single_modality,1156,289,361,0.33344,,,0.63967,0.64784,0.60665,0.70526,0.37017,0.84444,0.48551,0.24368,152,28,114,67,0.61593,
9,Early_fusion_Protein_HandcraftedGenomic,early_fusion,1156,289,361,0.42997,,,0.71918,0.71397,0.64266,0.61404,0.77348,0.51111,0.6846,0.29499,92,88,41,140,0.4125,
9,Early_fusion_Protein_DNABERT2Genomic,early_fusion,1156,289,361,0.41207,,,0.73039,0.71654,0.65097,0.63682,0.70718,0.59444,0.67016,0.30359,107,73,53,128,0.47902,
9,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,1156,289,361,0.44253,0.9,0.1,0.71562,0.69385,0.6482,0.62054,0.76796,0.52778,0.68642,0.30471,95,85,42,139,0.43366,
9,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,1156,289,361,0.43814,0.95,0.05,0.71513,0.69,0.6482,0.61947,0.77348,0.52222,0.68796,0.30557,94,86,41,140,0.42685,
9,Stacking_Protein_HandcraftedGenomic,stacking,1156,289,361,0.43218,,,0.72351,0.69872,0.64543,0.61181,0.8011,0.48889,0.69378,0.30534,88,92,36,145,0.43233,protein_score; handcrafted_genomic_score
9,Stacking_Protein_DNABERT2Genomic,stacking,1156,289,361,0.4262,,,0.72382,0.69803,0.66205,0.65608,0.68508,0.63889,0.67027,0.32433,115,65,57,124,0.50077,protein_score; dnabert2_genomic_score
9,Stacking_Protein_Handcrafted_DNABERT2,stacking,1156,289,361,0.426,,,0.72762,0.70295,0.66482,0.66854,0.65746,0.67222,0.66295,0.32971,121,59,62,119,0.51276,protein_score; handcrafted_genomic_score; dnabert2_genomic_score
10,Protein_only,single_modality,1156,289,361,0.29935,,,0.73048,0.71896,0.5928,0.75758,0.27624,0.91111,0.40486,0.24236,164,16,131,50,0.70232,
10,Handcrafted_genomic_only,single_modality,1156,289,361,0.2455,,,0.62416,0.6518,0.58449,0.63964,0.39227,0.77778,0.4863,0.18425,140,40,110,71,0.53306,
